"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9172","Test Case 6: Contact Us Form","","Mon Nov 17 21:35:36 BRST 2025","passed","Mon Nov 17 21:35:46 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","5351","Test Case 5: Register User with existing email","","Mon Nov 17 21:35:31 BRST 2025","passed","Mon Nov 17 21:35:36 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","17750","Test Case 1: Register User","","Mon Nov 17 21:34:50 BRST 2025","passed","Mon Nov 17 21:35:08 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","6993","Test Case 8: Verify All Products and product detail page","","Mon Nov 17 21:35:46 BRST 2025","passed","Mon Nov 17 21:35:53 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","5432","Test Case 3: Login User with incorrect email and password","","Mon Nov 17 21:35:16 BRST 2025","passed","Mon Nov 17 21:35:22 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","8203","Test Case 2: Login User with correct email and password","","Mon Nov 17 21:35:08 BRST 2025","passed","Mon Nov 17 21:35:16 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","28337","Test Case 15: Place Order: Register before Checkout","","Mon Nov 17 21:36:04 BRST 2025","passed","Mon Nov 17 21:36:32 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","3923","Test Case 10: Verify Subscription in home page","","Mon Nov 17 21:36:00 BRST 2025","passed","Mon Nov 17 21:36:04 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","9052","Test Case 4: Logout User","","Mon Nov 17 21:35:22 BRST 2025","passed","Mon Nov 17 21:35:31 BRST 2025","","Suite Test Case of Automation Exercises","",""
"","6894","Test Case 9: Search Product","","Mon Nov 17 21:35:53 BRST 2025","passed","Mon Nov 17 21:36:00 BRST 2025","","Suite Test Case of Automation Exercises","",""
